benchmark,variant,seed,success_rate,mode_coverage,latency_ms,path_length,collision_rate,n_episodes
pusht,Full DDPM (T=100),0,0.0,0.0,0.8291745691870649,70.28378874856405,0.0,25
pusht,Full DDPM (T=100),1,0.08,0.08,0.83446617583589,71.5602016688859,0.0,25
pusht,Full DDPM (T=100),2,0.0,0.0,0.8257729198473194,78.74241793959389,0.0,25
pusht,Full DDPM (T=100),42,0.0,0.0,0.8338336567394434,73.07718351012583,0.0,25
pusht,Full DDPM (T=100),123,0.0,0.0,0.8333589945298931,97.49620290728218,0.0,25
pusht,DDPM no-noise (T=100),0,0.0,0.0,0.6930186248694856,71.9641460220278,0.0,25
pusht,DDPM no-noise (T=100),1,0.04,0.04,0.6897238100988463,73.67346838273593,0.0,25
pusht,DDPM no-noise (T=100),2,0.0,0.0,0.6884166710078715,78.84172087182556,0.0,25
pusht,DDPM no-noise (T=100),42,0.0,0.0,0.6891494964559872,72.70581459754823,0.0,25
pusht,DDPM no-noise (T=100),123,0.0,0.0,0.6918506589718163,94.37556030689386,0.0,25
pusht,DDPM single-step (T=1),0,0.0,0.0,0.0101370750926435,3.806961335645651,0.0,25
pusht,DDPM single-step (T=1),1,0.0,0.0,0.010215487020711102,3.967426698277089,0.0,25
pusht,DDPM single-step (T=1),2,0.0,0.0,0.010079676285386086,3.7090035500652414,0.0,25
pusht,DDPM single-step (T=1),42,0.04,0.04,0.010186428583606527,3.40856530956443,0.003333333333333333,25
pusht,DDPM single-step (T=1),123,0.0,0.0,0.010212837097545467,3.877429660860741,0.004666666666666667,25
pusht,"MIP (2-iter, noise=0.1)",0,0.0,0.0,0.007220371781537931,123.64340714086983,0.009333333333333334,25
pusht,"MIP (2-iter, noise=0.1)",1,0.0,0.0,0.007239910773932935,121.1506182413925,0.01,25
pusht,"MIP (2-iter, noise=0.1)",2,0.0,0.0,0.0070942179299890995,122.9186022665935,0.012,25
pusht,"MIP (2-iter, noise=0.1)",42,0.0,0.0,0.007220831699669361,124.26708270607796,0.012,25
pusht,"MIP (2-iter, noise=0.1)",123,0.0,0.0,0.007270696728179853,124.14733846489553,0.012000000000000002,25
pusht,Pure Regression (RCP),0,0.0,0.0,0.005680802588661512,125.09058940220875,0.011333333333333336,25
pusht,Pure Regression (RCP),1,0.0,0.0,0.0056656054221093655,125.15790027001894,0.011333333333333336,25
pusht,Pure Regression (RCP),2,0.0,0.0,0.005588680040091276,124.80375826459608,0.010666666666666666,25
pusht,Pure Regression (RCP),42,0.0,0.0,0.005572562261174122,123.74274997469963,0.014000000000000002,25
pusht,Pure Regression (RCP),123,0.0,0.0,0.005668679562707743,125.15790027001894,0.012666666666666668,25
reaching,Full DDPM (T=100),0,0.0,0.0,0.8318356769159436,111.36896019987506,0.0,25
reaching,Full DDPM (T=100),1,0.12,0.0,0.8343517616879016,34.54803213059374,0.031121693121693123,25
reaching,Full DDPM (T=100),2,0.0,0.0,0.8328900480022035,88.17732697090709,0.0,25
reaching,Full DDPM (T=100),42,0.0,0.0,0.8380768545903265,80.77416169354252,0.0,25
reaching,Full DDPM (T=100),123,0.0,0.0,0.8350567451367774,120.0369892300555,0.0,25
reaching,DDPM no-noise (T=100),0,0.0,0.0,0.6915340659519036,110.43958637969641,0.0,25
reaching,DDPM no-noise (T=100),1,0.04,0.0,0.6955318532332225,32.08422295930577,0.025777777777777778,25
reaching,DDPM no-noise (T=100),2,0.0,0.0,0.6944125794495146,88.46058797926408,0.0,25
reaching,DDPM no-noise (T=100),42,0.0,0.0,0.6952958831874032,80.3394773858004,0.0,25
reaching,DDPM no-noise (T=100),123,0.0,0.0,0.6950374871181944,118.84852674448001,0.0,25
reaching,DDPM single-step (T=1),0,0.0,0.0,0.01022107418005665,3.816889101984158,0.0,25
reaching,DDPM single-step (T=1),1,0.0,0.0,0.010212245397269726,3.9779830396794638,0.013333333333333334,25
reaching,DDPM single-step (T=1),2,0.0,0.0,0.01022083001832167,3.689703128579184,0.0,25
reaching,DDPM single-step (T=1),42,0.0,0.0,0.010220583062618971,3.6392703404121995,0.006666666666666666,25
reaching,DDPM single-step (T=1),123,0.0,0.0,0.01022997700298826,3.876643809978412,0.012,25
reaching,"MIP (2-iter, noise=0.1)",0,0.16,0.0,0.007228583228798248,105.21762400790998,0.039794871794871796,25
reaching,"MIP (2-iter, noise=0.1)",1,0.28,0.0,0.007223776386429865,89.6262689581151,0.04038095238095238,25
reaching,"MIP (2-iter, noise=0.1)",2,0.12,0.0,0.007240328340767285,109.64316537666593,0.039794871794871796,25
reaching,"MIP (2-iter, noise=0.1)",42,0.28,0.0,0.0072600271146840015,91.27038522867207,0.050102564102564105,25
reaching,"MIP (2-iter, noise=0.1)",123,0.24,0.0,0.007210189758052865,95.66270903516903,0.04325274725274726,25
reaching,Pure Regression (RCP),0,0.4,0.0,0.005633119971324235,77.29735331300631,0.06282051282051283,25
reaching,Pure Regression (RCP),1,0.36,0.0,0.005641604463259378,82.05218829610169,0.05466666666666667,25
reaching,Pure Regression (RCP),2,0.24,0.0,0.005629872568906882,96.44370809959561,0.05076923076923077,25
reaching,Pure Regression (RCP),42,0.4,0.0,0.005664767721333564,77.21719637734982,0.05600000000000001,25
reaching,Pure Regression (RCP),123,0.24,0.0,0.005630930802092338,95.90732958659875,0.04220512820512821,25
