benchmark,controller,success_rate_mean,success_rate_std,path_length_mean,collision_rate_mean,latency_ms_mean,mode_coverage_mean,n_seeds,n_episodes
reaching,Linear MPC,1.0,0.0,5.494825330423719,0.10111111111111111,64.01926489382143,0.0,5,10
reaching,Nonlinear MPC (iLQR),1.0,0.0,5.459935185245682,0.09666666666666665,27.28004570312428,0.0,5,10
reaching,Collision-Free MPC,1.0,0.0,5.532022038408131,0.0998968008255934,179.1895365884416,0.0,5,10
reaching,Diffusion Warm-Start MPC,1.0,0.0,5.520105433213198,0.09764705882352939,198.03768321486743,0.0,5,10
reaching,MIP (standalone),0.3,0.1788854381999832,88.31290950481508,0.05105494505494505,0.014756233629262271,0.0,5,10
reaching,DDPM Policy,0.0,0.0,4.063926625848493,0.006666666666666666,11.818243755260482,0.0,5,10
reaching,Flow Matching Policy,0.12000000000000002,0.04,84.2912487865006,0.03488095238095239,11.414316715708646,0.0,5,10
reaching,Regression Policy,0.12000000000000002,0.09797958971132713,109.68984225956498,0.0364981684981685,0.14491517309972765,0.0,5,10
reaching,Iterative Regression Policy,0.27999999999999997,0.14696938456699069,91.23764925741008,0.051435897435897424,0.459635430911126,0.0,5,10
reaching_cluttered,Linear MPC,1.0,0.0,5.494825330423719,0.1895906432748538,4.678960287853618,0.0,5,10
reaching_cluttered,Nonlinear MPC (iLQR),1.0,0.0,5.459935185245682,0.18947368421052632,25.30923309320671,0.0,5,10
reaching_cluttered,Collision-Free MPC,1.0,0.0,5.510379738773059,0.1996078431372549,131.48347064435748,0.0,5,10
reaching_cluttered,Diffusion Warm-Start MPC,1.0,0.0,5.4970712445739895,0.20287581699346405,121.3301185474676,0.0,5,10
reaching_cluttered,MIP (standalone),0.3,0.1788854381999832,156.80415731929133,0.07686538461538461,0.007071161399605674,0.0,5,10
reaching_cluttered,DDPM Policy,0.0,0.0,6.432451770675182,0.026750000000000003,10.49400906637311,0.0,5,10
reaching_cluttered,Flow Matching Policy,0.16,0.10198039027185568,127.58369702732759,0.06495798319327731,9.648815377653872,0.0,5,10
reaching_cluttered,Regression Policy,0.12000000000000002,0.07483314773547883,195.27176203640795,0.05387637362637363,0.07648286379676743,0.0,5,10
reaching_cluttered,Iterative Regression Policy,0.34,0.04898979485566358,149.33445239963157,0.09938461538461538,0.23110816106558416,0.0,5,10
