benchmark,controller,level,n_episodes,n_seeds,success_rate_mean,success_rate_std,path_length_mean,path_length_std,collision_rate_mean,latency_ms_mean,latency_ms_std
pusht,SmallVLA,0,2,1,0.0,0.0,0.4792964346706867,4.0978193283081055e-08,0.0,18.386585273159046,14.081535682392616
pusht,DDPM,0,2,1,0.0,0.0,3.3559109875932336,1.368069957010448,0.0,175.71503999254975,75.07118388311936
pusht,Flow Matching,0,2,1,0.0,0.0,1.8078234202694148,0.2957990022841841,0.0,20.444056682754308,0.3941832537141931
pusht,MIP,0,2,1,0.0,0.0,1.6694682221859694,0.22300472669303417,0.0,0.011915527284145355,0.0013346550986170767
pusht,SmallVLA,1,2,1,0.0,0.0,0.479296313598752,9.313225746154785e-09,0.0,4.2828662709022565,0.025816331617534334
pusht,DDPM,1,2,1,0.0,0.0,6.514802023302764,0.5348303359933197,0.0,100.80048886593431,0.005038431845606761
pusht,Flow Matching,1,2,1,0.0,0.0,1.4421978530008346,0.14624270959757268,0.0,20.10999881507208,0.02136159067352497
pusht,MIP,1,2,1,0.0,0.0,1.2137636630795896,0.33235419960692525,0.0,0.012025644537061453,4.4800496349731516e-05
pusht,SmallVLA,2,2,1,0.0,0.0,0.4792963061481714,1.30385160446167e-08,0.0,4.364546299135934,0.037477697090556455
pusht,DDPM,2,2,1,0.0,0.0,6.482121844775975,2.112354495562613,0.0,103.13533341977745,2.358523732982572
pusht,Flow Matching,2,2,1,0.0,0.0,2.003728656331077,0.026215478545054793,0.0,57.54002331911276,37.38909769648065
pusht,MIP,2,2,1,0.0,0.0,2.105831324821338,0.12930066767148674,0.0,0.06257831507051984,0.05174948601052165
pusht,SmallVLA,3,2,1,0.0,0.0,0.47929637134075165,3.725290298461914e-08,0.0,4.639969222868483,0.023501529358327562
pusht,DDPM,3,2,1,0.0,0.0,6.478463172446936,2.0013977983035147,0.0,113.43961348369098,7.627870953486611
pusht,Flow Matching,3,2,1,0.0,0.0,2.4401667858473957,0.6305936486460268,0.0,21.7824645107612,0.9497307008132332
pusht,MIP,3,2,1,0.0,0.0,1.1057195044704713,0.1383359264000319,0.0,0.026238181938727696,0.010917638428509234
pusht,SmallVLA,4,2,1,0.0,0.0,0.47929631918668747,3.725290298461914e-09,0.0,9.639579961852482,4.538842457501839
pusht,DDPM,4,2,1,0.0,0.0,8.267575680278242,3.0486643547192216,0.0,124.04268089837083,4.848586247923476
pusht,Flow Matching,4,2,1,0.0,0.0,2.001747873146087,0.391629149671644,0.0,21.963510134567816,1.5858705854043358
pusht,MIP,4,2,1,0.0,0.0,2.2807864230126143,0.07906599715352058,0.0,0.012934479552010696,0.0004629294077555338
