benchmark,controller,level,n_episodes,n_seeds,success_rate_mean,success_rate_std,path_length_mean,path_length_std,collision_rate_mean,latency_ms_mean,latency_ms_std
reaching,Linear MPC,0,5,1,0.4,0.48989794855663565,74.4883709281683,12.37149449290739,0.0,29.274203711843473,27.003070203171458
reaching,Nonlinear MPC (iLQR),0,5,1,0.4,0.48989794855663565,74.3880830168724,12.261746116464156,0.0,19.291891904015625,3.6072178049370183
reaching,Collision-Free MPC,0,5,1,0.4,0.48989794855663565,74.55724402964115,12.286660781865514,0.0,26.91721525298254,4.905334358990357
reaching,Diffusion Warm-Start MPC,0,5,1,0.4,0.48989794855663565,74.69359191954136,12.284476292629863,0.0,34.57842050547091,5.285155489717349
reaching,SmallVLA,0,5,1,0.0,0.0,6.453169295191765,0.01523986622369251,0.0,5.2618211701822775,2.4453538590452193
reaching,DDPM,0,5,1,0.0,0.0,61.65448836535215,1.5754341717097815,0.0,14.44515793273846,2.825248557114359
reaching,Flow Matching,0,5,1,0.0,0.0,55.62648410722613,2.5183772445107175,0.2,14.17433543121625,4.6123737661994095
reaching,MIP,0,5,1,0.0,0.0,53.17550889849663,7.714500254219363,0.0,0.006731303874403238,0.0005714836020453304
reaching,Linear MPC,1,5,1,0.6,0.48989794855663565,71.95079964399338,10.443273153282611,0.0,52.330438619927556,16.04196087189899
reaching,Nonlinear MPC (iLQR),1,5,1,0.6,0.48989794855663565,71.921676248312,10.417888495560787,0.0,24.820472502948814,9.905429770675074
reaching,Collision-Free MPC,1,5,1,0.6,0.48989794855663565,71.75516816228628,10.494687783722862,0.0,40.589886648312095,12.981934282684227
reaching,Diffusion Warm-Start MPC,1,5,1,0.6,0.48989794855663565,71.7783721409738,10.508695358154824,0.0,56.913661757265274,22.772541005441646
reaching,SmallVLA,1,5,1,0.0,0.0,6.416059902310371,0.01964458923987749,0.0,11.832636410836132,5.8270014026820185
reaching,DDPM,1,5,1,0.0,0.0,60.72763558104634,2.426318096492509,0.0,36.63860622871047,32.317132470461246
reaching,Flow Matching,1,5,1,0.0,0.0,56.67391784861684,2.5301355707736977,0.0,27.472576662742842,23.086066168618157
reaching,MIP,1,5,1,0.0,0.0,48.670474137365815,22.536899603597984,0.0,0.0063501779610912,4.653833368911659e-05
reaching,Linear MPC,2,5,1,0.0,0.0,72.55097346901894,9.22197769180549,0.2,27.07312570385901,7.208942031695046
reaching,Nonlinear MPC (iLQR),2,5,1,0.2,0.4,74.33729523420334,8.901172401423887,0.2,19.014438260086678,8.804110546104953
reaching,Collision-Free MPC,2,5,1,0.0,0.0,71.97113662064075,8.653756147934953,0.2,32.1813083335846,4.983657564938339
reaching,Diffusion Warm-Start MPC,2,5,1,0.2,0.4,69.69251160025597,6.555730403890204,0.2,41.949561232967035,0.8242509586256427
reaching,SmallVLA,2,5,1,0.0,0.0,6.4273854225873945,0.10529932046676672,0.0,12.75162937041993,0.3269695134787467
reaching,DDPM,2,5,1,0.0,0.0,59.34870648682117,0.8685065899205918,0.0,21.50148877951627,0.17800840298169693
reaching,Flow Matching,2,5,1,0.0,0.0,59.88188316822052,2.7570746837808287,0.0,18.537110822896164,0.4183260289563772
reaching,MIP,2,5,1,0.0,0.0,50.38571829199791,18.06383267873235,0.0,0.006477180092285076,6.107702699959415e-05
reaching,Linear MPC,3,5,1,0.6,0.48989794855663565,64.65072003006935,19.825265240576478,0.0,33.23322475323571,19.46266491547433
reaching,Nonlinear MPC (iLQR),3,5,1,0.6,0.48989794855663565,64.6753914475441,19.872025213376283,0.0,31.088540659025824,11.40329720473865
reaching,Collision-Free MPC,3,5,1,0.6,0.48989794855663565,64.52370695769787,20.05868383070244,0.0,43.613174365979894,17.33312266223938
reaching,Diffusion Warm-Start MPC,3,5,1,0.6,0.48989794855663565,64.6059894412756,20.021772411637926,0.0,67.13776218591246,50.53646172854624
reaching,SmallVLA,3,5,1,0.0,0.0,6.4264621749520305,0.016250622108188152,0.0,7.9236879719731705,4.78785840029514
reaching,DDPM,3,5,1,0.0,0.0,60.450504100322725,2.683770785486153,0.0,23.377684189472347,15.962429115965033
reaching,Flow Matching,3,5,1,0.0,0.0,57.9814089089632,1.2151814316675176,0.0,14.03898943370829,2.675188687376599
reaching,MIP,3,5,1,0.0,0.0,63.992020177841184,16.278591113447018,0.0,0.006426876255621513,8.500840637482506e-05
reaching,Linear MPC,4,5,1,0.0,0.0,80.50531025528907,4.419561742884594,0.0,34.9803799429598,34.677514958829846
reaching,Nonlinear MPC (iLQR),4,5,1,0.2,0.4,79.69106318950654,5.4062600200304,0.0,34.394615432194,11.590934496574311
reaching,Collision-Free MPC,4,5,1,0.0,0.0,79.92532341480255,4.323383204367707,0.0,38.58772384313246,5.810512306089801
reaching,Diffusion Warm-Start MPC,4,5,1,0.0,0.0,81.98033586740493,2.60367030767413,0.0,44.118619679162904,6.67146376660141
reaching,SmallVLA,4,5,1,0.0,0.0,6.386491966247559,0.04192536556810206,0.0,4.63652509652699,0.9300546212893166
reaching,DDPM,4,5,1,0.0,0.0,58.08637782782316,2.9848135451541737,0.0,13.620718468446286,0.7192453254802471
reaching,Flow Matching,4,5,1,0.0,0.0,59.184099946916106,3.4956571926734306,0.0,12.584388029451171,1.0535924135402728
reaching,MIP,4,5,1,0.0,0.0,50.97450575232506,10.525951398422178,0.0,0.006291748334964116,4.085530627516834e-05
