benchmark,family,controller,parameter,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_hz,n_eval_calls
reaching,Linear MPC,Linear MPC (H=5),H=5,0.37012450999999996,0.12073334675925247,0.32794449999999997,0.6469176,0.6529307299999999,0.29608,0.653201,2701.793512674965,100
reaching,Linear MPC,Linear MPC (H=10),H=10,1.58132146,0.34088812898971477,1.6577609999999998,2.0258338,2.6724861600000005,1.099152,2.745762,632.3824885042666,100
reaching,Linear MPC,Linear MPC (H=15),H=15,55.40109434000001,47.72978595070492,45.46848,154.86495374999998,225.31866731000022,6.078499,270.262124,18.050184963187494,100
reaching,Linear MPC,Linear MPC (H=20),H=20,81.72222409,32.38889516498509,72.168125,133.1259555,192.54591782000006,28.957695,204.130682,12.236573479678043,100
reaching,Linear MPC,Linear MPC (H=30),H=30,124.42834621000002,96.56348372925868,97.0694665,338.00560184999995,574.4538675100001,46.772664,601.398055,8.036753926732109,100
reaching,Nonlinear MPC,Nonlinear MPC (iters=1),iters=1,3.9847522900000003,0.015751896028284938,3.9822265000000003,4.0005772,4.07192216,3.970114,4.090946,250.95662847338497,100
reaching,Nonlinear MPC,Nonlinear MPC (iters=3),iters=3,11.794543360000002,0.05416060169099301,11.795134000000001,11.8642084,11.871269999999999,11.713158,11.899782,84.78496958105208,100
reaching,Nonlinear MPC,Nonlinear MPC (iters=5),iters=5,22.28735388999999,2.816330897503328,22.301068,25.1420098,25.190142599999998,19.420266,25.206141,44.868493807543715,100
reaching,Nonlinear MPC,Nonlinear MPC (iters=10),iters=10,35.61002763,19.183193409349233,41.070229,54.78741685,57.15452582000001,16.184392,59.538527,28.081977649395046,100
reaching,Nonlinear MPC,Nonlinear MPC (iters=15),iters=15,50.261631470000005,34.226004112615904,50.255289499999996,84.55245674999999,84.7074536,16.004952,84.804236,19.895892169693628,100
reaching,Regression,Regression (hidden=16),hidden=16,0.6225164800000001,0.22033686524648932,0.505496,0.9186122,1.3790346000000022,0.433648,1.821921,1606.3831755907888,100
reaching,Regression,Regression (hidden=32),hidden=32,0.85996988,0.4987491090104178,0.590352,1.971533,2.2163254900000013,0.436656,2.476546,1162.8314238168434,100
reaching,Regression,Regression (hidden=64),hidden=64,1.66063814,0.18795055049145346,1.675881,1.9540474,2.21953428,1.229744,2.266785,602.1781482147579,100
reaching,MIP,MIP (iters=1),iters=1,5.2268734100000005,6.401605691600994,2.350457,19.91469975,23.15772369000001,1.920769,25.633485,191.31896289793633,100
reaching,MIP,MIP (iters=2),iters=2,4.71098946,0.35576703164128126,4.673027,5.4492854,5.57370796,4.090099,5.587267,212.26963220588482,100
reaching,MIP,MIP (iters=3),iters=3,6.937779889999999,0.49276481701821795,6.8321875,7.767016,8.525293450000001,6.016643,8.812933,144.13832895468238,100
reaching,MIP,MIP (iters=5),iters=5,11.514094719999997,0.7613894238646487,11.4827015,12.705890199999999,13.658368770000006,10.018886,14.663592,86.8500758694471,100
pusht,Linear MPC,Linear MPC (H=5),H=5,0.41966260999999994,0.009168012847825854,0.417553,0.4434178,0.4588563600000001,0.412945,0.472257,2382.8665603542813,100
pusht,Linear MPC,Linear MPC (H=10),H=10,2.24784704,0.3061326150390683,2.133061,2.71347575,2.880894680000001,1.849204,2.990951,444.87012781794976,100
pusht,Linear MPC,Linear MPC (H=15),H=15,24.84953859,22.194182846080086,17.1221535,70.69004294999998,85.10883911000008,3.581801,99.267632,40.24219590147327,100
pusht,Linear MPC,Linear MPC (H=20),H=20,77.50834754,43.94098911602843,63.8490965,148.07946569999996,200.97397933000013,11.103307,225.191293,12.90183614718307,100
pusht,Linear MPC,Linear MPC (H=30),H=30,336.47553120000003,189.88959598123844,387.272068,598.0930866,672.6330367600001,54.246177,696.044038,2.971984311707953,100
pusht,Nonlinear MPC,Nonlinear MPC (iters=1),iters=1,4.07541409,0.06157184805933557,4.061241,4.1415370000000005,4.197807290000002,4.042009,4.616507,245.37383880910124,100
pusht,Nonlinear MPC,Nonlinear MPC (iters=3),iters=3,12.616710489999997,3.0905792146667896,11.951659,15.027150099999998,24.121939330000078,11.894539,38.683288,79.25996247536946,100
pusht,Nonlinear MPC,Nonlinear MPC (iters=5),iters=5,19.78007852,0.04269461865961101,19.770124,19.85298995,20.006665350000002,19.732301,20.012541,50.55591660007222,100
pusht,Nonlinear MPC,Nonlinear MPC (iters=10),iters=10,34.98612812,15.713504873615536,27.674262499999998,72.34801265,74.01781429000013,27.576446,98.835856,28.582757045022795,100
pusht,Nonlinear MPC,Nonlinear MPC (iters=15),iters=15,69.19919841000001,32.3807317204009,70.6302465,126.19179069999994,144.8878213500003,27.675982,202.443288,14.451034448044842,100
pusht,Regression,Regression (hidden=16),hidden=16,8.247956499999999,2.0166624589180984,8.05385,11.240974649999998,13.038258310000007,3.042375,14.305984,121.24215252590143,100
pusht,Regression,Regression (hidden=32),hidden=32,8.87288267,2.1879438251904233,8.6987235,13.062769049999998,14.841869160000002,4.012745,15.039489,112.70294414926599,100
pusht,Regression,Regression (hidden=64),hidden=64,13.93389408,3.3860291170877272,13.700078,19.111361549999994,24.88464623000001,3.664632,26.069402,71.7674466490562,100
pusht,MIP,MIP (iters=1),iters=1,20.24886868,11.08325322917219,18.890178,26.169988549999996,36.83337542000045,13.896943,125.055782,49.38547510003408,100
pusht,MIP,MIP (iters=2),iters=2,40.95735062,7.353856039439538,39.666144,56.97611335,60.51725417000008,28.670351,75.422711,24.41564175568737,100
pusht,MIP,MIP (iters=3),iters=3,58.36389785,5.568819893414214,57.5849825,67.8205027,70.48452152000002,47.204744,75.009764,17.133879621441356,100
pusht,MIP,MIP (iters=5),iters=5,100.27935821999999,12.928351980465706,97.57688350000001,121.27453544999999,136.33889330000008,79.400828,150.007655,9.972142001608436,100
