benchmark,family,controller,parameter,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_hz,n_eval_calls
reaching,MPC,Linear MPC (H=10),H=10,1.17458664,0.2566381883257252,1.020524,1.5526595999999997,1.7003608900000007,0.957972,1.806775,851.3633357859409,100
reaching,MPC,Linear MPC (H=20),H=20,5.81027282,2.082902011851222,5.5324919999999995,6.44784945,7.016870650000099,5.008515,26.157694,172.10895787162022,100
reaching,MPC,Nonlinear MPC (iters=5),iters=5,27.969440600000002,0.0871294388101977,27.9733405,28.110069850000002,28.177809200000002,27.759092,28.245446,35.75330712906714,100
reaching,MPC,Nonlinear MPC (iters=15),iters=15,78.94456712000002,0.24899896342504294,78.94197750000001,79.35689355,79.54295268,78.434761,79.783293,12.667116135806355,100
reaching,MPC,Nonlinear MPC (iters=30),iters=30,157.54867337,0.5067541728509728,157.52166799999998,158.29653274999998,158.80859381,156.127973,159.166262,6.347244813998017,100
reaching,MPC,CollisionFree MPC,ilqr=15,156.91224363,38.38652757861552,140.123266,227.39686584999995,318.1275592100001,135.739188,326.907197,6.372988983307166,100
reaching,DDPM,DDPM (T=1),T=1,2.21526054,0.06841835302087008,2.200247,2.3152839999999997,2.5390458000000007,2.167864,2.701881,451.41417090379804,100
reaching,DDPM,DDPM (T=2),T=2,4.27919001,0.0680878882403464,4.271454,4.3169358,4.425172460000002,4.180014,4.885073,233.6890854725098,100
reaching,DDPM,DDPM (T=4),T=4,8.273389920000001,0.15727280077233194,8.238932,8.473418599999999,9.052825080000002,8.143628,9.083919,120.86943921047539,100
reaching,DDPM,DDPM (T=8),T=8,16.086942020000002,0.12721251162633176,16.088255,16.25399985,16.44110785,15.811782,16.735321,62.16221819888177,100
reaching,DDPM,DDPM (T=16),T=16,31.873651489999993,0.23304613594438722,31.801356499999997,32.3878118,32.65134574,31.620811,33.129985,31.373876328971562,100
reaching,DDPM,DDPM (T=32),T=32,64.96550328000001,8.035003426755132,63.9923525,66.07518415,68.92901613000039,62.889861,144.44316,15.39278462432624,100
reaching,DDPM,DDPM (T=64),T=64,132.00946817,11.447409185877367,130.2435735,133.3835812,211.3683831,127.328681,211.732614,7.5752142165455405,100
reaching,DDPM,DDPM (T=100),T=100,209.03073618000002,18.324442337426245,204.6168775,215.3326538499998,290.17090222999997,202.370401,292.672556,4.783985447665852,100
reaching,Flow Matching,Flow Matching (T=1),T=1,2.18532789,0.03459098637416834,2.180455,2.2075062,2.2418502100000013,2.153815,2.498776,457.5972349851811,100
reaching,Flow Matching,Flow Matching (T=2),T=2,4.16755368,0.026032392007988854,4.1717655,4.20538355,4.21957128,4.109837,4.240686,239.9489189063067,100
reaching,Flow Matching,Flow Matching (T=4),T=4,8.095195979999998,0.08226222539646977,8.08029,8.2579174,8.339118520000001,7.977706,8.497867,123.53005442618083,100
reaching,Flow Matching,Flow Matching (T=8),T=8,15.85821672,0.12301833252260251,15.839195499999999,15.99535595,16.392902919999997,15.632723,16.427941,63.058792653452905,100
reaching,Flow Matching,Flow Matching (T=10),T=10,19.712046360000002,0.13696797499580113,19.6842555,19.98679775,20.23322757,19.562767,20.444946,50.73040016937135,100
reaching,MIP,MIP (iter=1),iter=1,0.11893046999999997,0.0025308455601043703,0.118017,0.12315535,0.12667123000000002,0.116369,0.132832,8408.274179022417,100
reaching,MIP,MIP (iter=2),iter=2,0.22632231999999994,0.003424945403594049,0.2250165,0.23382725000000001,0.23612116,0.221793,0.236929,4418.477152408124,100
reaching,MIP,MIP (iter=3),iter=3,0.33328044,0.006645243285719495,0.332713,0.3419106,0.3526381300000001,0.323345,0.371362,3000.4761155500155,100
reaching,MIP,MIP (iter=4),iter=4,0.44020063,0.008712070347116118,0.4396335,0.44741155,0.4505919100000003,0.430898,0.512161,2271.6914330631466,100
reaching,MIP,MIP (iter=5),iter=5,0.5472869,0.006850879736938907,0.5482335,0.5559348,0.5682164000000001,0.53589,0.57677,1827.1952060244819,100
reaching,Regression,Regression (RCP),T=1 (no-noise),0.08645147000000002,0.0013601769550687143,0.08607200000000001,0.08958405,0.09202096,0.084881,0.092512,11567.183299485825,100
reaching,VLA,SmallVLA,ViT-Base,14.602175030000001,0.5944782403962225,14.601230999999999,15.415058,16.02495517,12.754409,16.100212,68.48294846113757,100
