benchmark,family,controller,parameter,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_hz,n_eval_calls
reaching,Linear MPC,Linear MPC (H=5),H=5,2.381323,0.07064548230896774,2.376363,2.4608334000000003,2.46834188,2.297387,2.470219,419.9346329750311,3
reaching,Linear MPC,Linear MPC (H=10),H=10,9.569835333333332,1.5275655252181128,10.635049,10.6618762,10.664260839999999,7.4096,10.664857,104.49500593984448,3
reaching,Linear MPC,Linear MPC (H=15),H=15,119.999431,15.29240822697354,114.013689,138.2923104,140.45041008,104.994669,140.989935,8.333372847409585,3
reaching,Linear MPC,Linear MPC (H=20),H=20,182.34381900000002,43.18127163223845,168.135204,233.6079891,239.42779222000001,138.01351,240.882743,5.484145311226589,3
reaching,Linear MPC,Linear MPC (H=30),H=30,291.66105066666665,70.93460343322572,273.991345,374.8120936,383.77393792000004,214.977408,386.014399,3.4286374464956557,3
reaching,Nonlinear MPC,Nonlinear MPC (iters=1),iters=1,129.944595,12.675273160291608,130.771367,143.6119343,144.75331806,114.023754,145.038664,7.695587492500169,3
reaching,Nonlinear MPC,Nonlinear MPC (iters=3),iters=3,490.99047766666666,16.32420101756049,501.030382,503.6794996,503.91497671999997,467.967205,503.973846,2.0366993770475927,3
reaching,Nonlinear MPC,Nonlinear MPC (iters=5),iters=5,127.97942233333333,19.714705134661962,125.997155,150.3491579,152.51378038,104.886176,153.054936,7.813756163044826,3
reaching,Nonlinear MPC,Nonlinear MPC (iters=10),iters=10,121.47199666666667,31.49118892627208,119.120994,156.9582522,160.32156404,84.132604,161.162392,8.23235006784417,3
reaching,Nonlinear MPC,Nonlinear MPC (iters=15),iters=15,113.39003000000001,2.8572145235611326,113.158479,116.6153205,116.9225953,110.012197,116.999414,8.819117518533155,3
reaching,Regression,Regression (hidden=16),hidden=16,9.447857333333333,2.3596816375223635,8.064431,12.29903,12.6754388,7.5096,12.769541,105.84410461744201,3
reaching,Regression,Regression (hidden=32),hidden=32,5.633582666666666,0.26812215877261786,5.570084,5.947176799999999,5.98069616,5.341588,5.989076,177.50693637938392,3
reaching,Regression,Regression (hidden=64),hidden=64,19.31022533333333,1.6195388051829933,19.80967,20.877628899999998,20.972558579999998,17.124715,20.996291,51.78603474262928,3
reaching,MIP,MIP (iters=1),iters=1,25.680878333333336,2.8653514460266285,25.922808,28.748961,29.0001746,22.056849,29.062978,38.939478121432366,3
reaching,MIP,MIP (iters=2),iters=2,53.013556333333334,6.128642715628333,52.060225,60.0616543,60.77289246,46.029742,60.950702,18.863099727026423,3
reaching,MIP,MIP (iters=3),iters=3,87.274961,4.159776641161483,84.853708,92.3012269,92.96322858,83.842446,93.128729,11.458040067184905,3
reaching,MIP,MIP (iters=5),iters=5,112.05962833333332,43.6549740761916,137.762219,146.81490319999997,147.61958624,50.595909,147.820757,8.923820423760404,3
